"Location","Sample","AG0377","AG0393","AG0396","AG0416","AG0515","AG0581","AG0608","AG0620","AG0638","AG0651","AG0686","AG0703","AG0732","AG0777","AG0815","AG0863","AG0865","AG0895","AG0912","AG0930","AG0931","AG0974","AG1034","AG1046","AG1061","AG1099","AG1152","AG1225","AG1226","AG1661","AG1687","AG1698","IG0005","IG0011","IG0012","HYC01","IG0020","IG0023","IG0028","IG0044","IG0053","IG0058","IG0060","IG0063","IG0079","IG0081","IG0133","IG0197","IG0314","UNI05","Total Events"
"24(1,H3)","S16","228","608","368","156.5","129","1658.5","3105","169","1074","16017","376.5","244","636","114.5","122","731","9745.5","3712","2255","11823","12346.5","100.5","20185","170","8200","830","173.5","253","1378","527","268","1313","206","152.5","1778","24565","274","11709","12952.5","15847.5","8204","11601.5","10444","4075","189","729","343.5","342","366","21811","7060"
"25(1,A4)","S17","512","766.5","377","212","154","827","3342","185","1664","10096","2547","219","727","142","3396","419","12184","158.5","257","5341","5900","4133","12515","238","217","1668.5","2162","1500","2857.5","521.5","243","7653","336","199","4454","22858","422","11082","16309","8153","18671","8128","14917","1844","232","984","5223","395","826","21117.5","7595"
"26(1,B4)","S18","193","1465","322","168","624","363","1309","194.5","1253","12483","274","8262","709.5","144","381","997","4332","139","426","8499.5","181","114","16368","388","188","4002","7405","7635","4512.5","478","256","6025.5","283","152","3757","24372","304","16741.5","6415","11638","2318","14284.5","10740","811.5","362.5","1418","4183","590","1295","22148","6956"
"27(1,C4)","S19","190","1026","341","214","139","156","1137","181","1116.5","8355","2633.5","197","369","127","142","218","11054","128","283.5","4877","184.5","97","8449","247","175","6874","1074","10250","10429","521","202","205","229.5","147","1947","24425","317","13603","14571","6432","259","8487","14320.5","404","174","554","2559.5","347","2762","19989","6633"
"28(1,D4)","S20","739.5","902","252.5","183.5","154","594","1423","571","21053.5","13134","1032.5","335","711","151.5","2681","1044","4182","148","917","4003","3976.5","2474","17077","4611","204","3377.5","1501","751","1303","514","253","5307","251","163","6916","23819.5","417","19639","6344","7389.5","5026","8627","17729","6999","210.5","5504.5","1192","429","1042","21935.5","6992"
"29(1,E4)","S21","1194","807.5","251","196.5","166","423.5","2234","452","18907","12620","737","287","460","146","3032","758","4124.5","163","865","2659","2619","1633","16139","3516","198","2420","1166","536","1266","507","254","4414.5","263","170","5075","24501","317","17835.5","5956.5","6052","3480","10047","18062","6778","226.5","3685.5","1641","519","833","22059","7327"
"30(1,F4)","S22","217","631","349","779","165","1148.5","2378","710","1056","13131.5","826","7191","5899","148","138","240","2825","148","1039.5","6482","821","7686","21005.5","224","2826","2132","202","192.5","1159","493","349","226","392","174.5","17476","23935.5","5000.5","10912","4572","13531","14780","14018","15706.5","6277.5","688.5","3699","6750","765.5","524.5","21347","8067"
"31(1,G4)","S23","768","541","423","236","163","1738","664.5","220","1208.5","4345","815","4224","4642.5","143.5","140","327","12665.5","147","236","237.5","214.5","141","17331","229","2049","2399","5482","215","3210.5","1218.5","275","243","256.5","248","21417","24446","1367","16845.5","16274","9282","18893","12174","10447.5","5054","5069.5","617","1365","6374.5","332.5","20848","8664"
"32(1,H4)","S24","273","545","325","318","147","3855","8181","1032","1198","7242","296.5","4254.5","835","133","483.5","432.5","13057","141.5","425","235","268.5","127","22430.5","281","365","669.5","175.5","162","1745","545","357","2948.5","223","170","5997","23993","307","4667","16677","9844","3855","13544","7320","10509","592.5","5680","510.5","688","391","22360","6471"
"33(1,A5)","S25","239","517.5","453.5","742","160","1170.5","6868","1411","2065.5","5914","486","2958","641","139","1838","950","20260","142","433","256","933.5","97.5","21851","266","228","1656.5","211.5","228","2803","481","323","2546","228","157","6159","23760","339","8049","24062.5","10552.5","966","11017","15354.5","12840","273","6449","361","434","371","20584","8234"
"34(1,B5)","S26","254","939","309.5","187.5","156.5","491","1930","186","1199.5","14091.5","174","223","707","150","5398","772","8518","140","183.5","235","187","97.5","10455","196","209","205.5","11022","215","3698","562","2620.5","10971","258.5","180","1201","24595","355.5","11194.5","14016","4853","302","6869","9390.5","2496","204","330.5","1335","404","2066","24382","7262"
"35(1,C5)","S27","549","1027","381","208","167","1344","2261","182","1191","10191","210.5","308","807","138","7285.5","929","2581","154.5","216","454","214.5","110","10593","221.5","215.5","264","11743","232.5","2696","812","3110","10878","285","172","4176","24612","413","14084","4639","6273","489.5","8181.5","17880.5","1363","255.5","544.5","3634.5","421","2570","24998","6439"
"36(1,D5)","S28","433","968","1728.5","201","155","865.5","1479","422","1063","6865.5","1573","7815.5","12258","138.5","545","1884","1953","144","228.5","6325","7947","201","17048","213","203","4602","189","6988.5","6605","517","313","218.5","273.5","167","20350","23684","619","14924","2997.5","10349","1234","11395","21276.5","4587","8521","2824","1845","7002","1128.5","20797","6850"
"37(1,E5)","S29","256","698.5","1300.5","204","172","424.5","510","861","1181","5843","5547","635","287","149","150","7913.5","1279.5","178","296","267","233","123","17463.5","206","213","13035","732.5","1954.5","4448","533","290.5","300","276","167","6625","24005","345.5","8020.5","2085","4981.5","394.5","7038","25087","8148","225","3907","577.5","363.5","417.5","21925.5","7098"
"38(1,F5)","S30","2016","609","1755","179.5","142","264","961","169.5","8766","6766","5128","652.5","9907.5","140","736.5","1024","270.5","148","267","238","203","127","16940","952","199.5","3131.5","180","609","4209","506.5","2656","7579","245","156","16074","24292.5","455","10478","475","6485","773","9599.5","22621","498","4910","425","1322","4304.5","423.5","22657.5","8323"
"39(1,G5)","S31","430","6808.5","3918","183","151.5","426","1125","189","1186","11480","313.5","308","7487","136","675","191","336","140","464","273.5","207.5","1213.5","16224.5","431","200.5","1317.5","969","385","9162","500.5","6092","4791.5","258","165","13285","24154.5","4065","13869.5","434.5","10228","4391","11446.5","23993","1235","2044","1019","410","1958","642","22721.5","7638"
"40(1,H5)","S32","15418.5","722","2602.5","192","151","673.5","916","341","1692","12129","193","507.5","717","151","156","155","272.5","155","630","251.5","207","136","22410.5","285","220.5","206","2835","215","989","516","4073","8411","233.5","161","4154","24624.5","350","9845.5","316","9663.5","327.5","11403","25017","4036","360","6208.5","1010.5","590","514","22355","7542"
"41(1,A6)","S33","14247","1177.5","1996.5","233","184","603","1094","391","1911","11555","234","563","3991.5","164","180","190","350.5","195","648","310.5","237","139","19873","307","242","240","2730.5","243.5","955","596","3442.5","538","302","192","6649.5","23971","2994","11648","380.5","9376","442","9167.5","23923","4357.5","279.5","2457.5","665.5","482.5","977","20893.5","7515"
"42(1,B6)","S34","919","610","1655.5","236","213","1885","2776","359.5","1335.5","7917.5","231","19498.5","7984","181","192","367","269","184","228","6053","6119.5","171.5","23114","261","254","737","233","196","263","604","534","267.5","422","216","12174","23517","6590.5","5994","284","15592","684","18602","10781","4322.5","771.5","1386","7175","867.5","1044.5","19963.5","7914"
"43(1,C6)","S35","458","6900","1328.5","232","178","454","1218.5","230","1229","10309.5","456","281.5","10343.5","175.5","1848","210","315","167.5","663","288","243.5","838","17466","397.5","262","2375","897","557","6196.5","566.5","6627","6408","291.5","182","15354","24581","8471","12694","358.5","11813","3384","11292.5","21985.5","635","782","450","449","848","957","22111.5","6981"
